Dates,Bloomberry Resorts Corporation (PSE:BLOOM) - Share Pricing,Aboitiz Power Corporation (PSE:AP) - Share Pricing,Ayala Corporation (PSE:AC) - Share Pricing,"Aboitiz Equity Ventures, Inc. (PSE:AEV) - Share Pricing","Alliance Global Group, Inc. (PSE:AGI) - Share Pricing","Ayala Land, Inc. (PSE:ALI) - Share Pricing","BDO Unibank, Inc. (PSE:BDO) - Share Pricing",Bank of the Philippine Islands (PSE:BPI) - Share Pricing,"DMCI Holdings, Inc. (PSE:DMC) - Share Pricing",First Gen Corporation (PSE:FGEN) - Share Pricing,"Globe Telecom, Inc. (PSE:GLO) - Share Pricing","GT Capital Holdings, Inc. (PSE:GTCAP) - Share Pricing","International Container Terminal Services, Inc. (PSE:ICT) - Share Pricing",Jollibee Foods Corporation (PSE:JFC) - Share Pricing,"JG Summit Holdings, Inc. (PSE:JGS) - Share Pricing","LT Group, Inc. (PSE:LTG) - Share Pricing",Metropolitan Bank & Trust Company (PSE:MBT) - Share Pricing,Megaworld Corporation (PSE:MEG) - Share Pricing,Manila Electric Company (PSE:MER) - Share Pricing,Metro Pacific Investments Corporation (PSE:MPI) - Share Pricing,"Puregold Price Club, Inc. (PSE:PGOLD) - Share Pricing",Robinsons Land Corporation (PSE:RLC) - Share Pricing,"Robinsons Retail Holdings, Inc. (PSE:RRHI) - Share Pricing",Semirara Mining and Power Corporation (PSE:SCC) - Share Pricing,Security Bank Corporation (PSE:SECB) - Share Pricing,SM Investments Corporation (PSE:SM) - Share Pricing,San Miguel Corporation (PSE:SMC) - Share Pricing,"SM Prime Holdings, Inc. (PSE:SMPH) - Share Pricing",PLDT Inc. (PSE:TEL) - Share Pricing,Universal Robina Corporation (PSE:URC) - Share Pricing
Nov-14-2018,7.80,31.40,900.00,45.40,10.54,38.80,114.60,82.60,12.58,16.56,1865.00,662.04,92.40,279.00,43.50,15.72,59.29,4.50,382.00,4.36,42.00,19.90,76.50,26.10,136.00,898.50,169.20,31.75,1177.00,123.00
Nov-15-2018,7.65,31.25,898.00,45.90,10.28,38.50,118.00,84.50,12.42,16.90,1865.00,666.67,92.30,280.00,44.50,15.84,61.77,4.51,379.60,4.49,41.90,20.00,76.70,26.25,139.00,880.00,169.20,31.95,1165.00,126.50
Nov-16-2018,7.33,31.65,905.00,46.30,10.70,39.35,124.00,88.90,12.70,17.38,1925.00,747.22,94.00,282.00,45.00,16.00,62.21,4.35,376.60,4.50,42.00,20.40,77.00,26.00,140.00,890.00,168.50,32.65,1165.00,131.00
Nov-19-2018,7.58,32.50,945.50,46.85,10.76,39.90,129.70,88.70,13.10,17.54,1999.00,796.30,95.30,282.00,47.00,16.28,63.85,4.62,384.00,4.65,42.70,21.00,76.70,26.00,146.50,928.00,169.90,32.90,1236.00,131.00
Nov-20-2018,7.60,32.75,935.00,48.00,10.88,40.10,129.30,90.50,12.60,17.30,2006.00,832.87,94.50,279.00,47.00,16.48,63.14,4.76,383.80,4.62,42.55,20.50,74.00,26.00,152.00,940.00,174.10,33.60,1216.00,130.00
Nov-21-2018,7.59,32.60,921.00,49.50,10.74,40.00,127.00,91.40,12.80,17.10,1920.00,819.44,93.90,282.00,47.00,16.44,63.67,4.74,388.80,4.61,42.50,20.55,73.90,25.00,151.00,920.00,172.40,33.30,1225.00,131.00
Nov-22-2018,7.63,32.00,935.00,48.70,11.00,40.00,127.00,91.25,12.90,17.14,1952.00,813.89,94.70,285.00,47.30,16.10,63.72,4.70,388.00,4.61,42.50,20.50,73.00,24.75,155.00,914.50,171.20,33.25,1208.00,133.00
Nov-23-2018,8.02,32.75,939.00,48.15,11.14,41.50,128.00,94.50,13.08,17.22,1975.00,812.04,94.45,283.00,47.40,15.48,63.81,4.85,390.00,4.69,43.05,21.35,72.05,25.60,162.80,914.00,172.00,33.60,1200.00,135.30
Nov-26-2018,8.30,32.90,945.00,53.50,11.18,41.50,128.00,93.85,13.38,17.36,2002.00,802.78,98.00,280.00,48.00,15.32,65.71,4.75,388.00,4.65,43.00,21.15,72.05,26.90,163.00,915.00,171.80,34.35,1188.00,135.00
Nov-27-2018,8.29,33.40,945.00,55.55,11.24,40.90,130.20,93.95,13.86,17.40,2000.00,814.35,96.60,283.00,48.15,15.24,68.10,4.76,388.00,4.60,43.00,20.85,76.95,26.05,159.00,915.00,171.50,34.40,1176.00,130.00
Nov-28-2018,8.14,33.40,948.00,54.50,11.16,40.25,129.10,93.80,12.90,17.38,2000.00,806.02,96.85,280.00,49.65,15.48,67.12,4.75,387.60,4.60,42.95,21.20,75.90,25.90,158.00,915.00,174.80,34.00,1178.00,129.90
Nov-29-2018,8.34,31.70,951.00,52.20,11.42,41.65,130.20,94.00,12.34,17.72,1970.00,822.22,93.50,278.40,48.20,15.98,66.02,4.51,384.20,4.70,42.55,20.45,76.40,26.20,161.00,908.50,174.70,34.70,1158.00,128.00
Dec-03-2018,8.40,33.10,950.00,52.90,11.40,41.90,133.20,92.05,13.00,17.84,2016.00,849.07,93.50,286.80,50.40,16.30,68.01,4.75,388.00,4.90,42.70,21.75,74.95,26.65,164.30,948.00,174.90,36.50,1170.00,130.00
Dec-04-2018,8.57,33.45,970.50,54.45,11.84,42.65,136.00,94.00,12.90,17.88,2090.00,899.07,95.55,289.60,52.90,16.90,70.71,4.82,388.00,4.94,42.55,21.80,76.35,26.00,166.90,980.00,175.00,37.40,1196.00,130.00
Dec-05-2018,8.45,33.00,960.00,53.60,11.90,42.50,134.80,93.50,12.92,18.30,2100.00,902.31,95.00,294.00,52.40,16.70,70.35,4.80,385.20,4.87,42.50,21.50,74.60,25.20,159.00,960.00,169.00,36.80,1207.00,129.90
Dec-06-2018,8.34,32.50,934.00,52.75,11.88,41.90,133.80,93.20,12.58,19.18,2080.00,870.37,94.00,296.00,52.00,17.10,69.91,4.79,380.00,4.82,42.85,21.55,72.50,24.95,161.00,950.00,169.50,35.50,1188.00,127.00
Dec-07-2018,8.02,33.00,910.00,50.30,11.86,40.75,133.20,94.25,12.58,19.32,2076.00,851.85,94.50,295.00,50.10,16.94,70.62,4.80,376.00,4.77,42.75,21.00,71.50,24.55,160.00,940.00,162.20,36.00,1165.00,127.00
Dec-10-2018,7.85,32.75,910.00,50.60,11.66,40.30,128.00,93.50,12.70,18.66,2080.00,827.78,94.40,291.00,49.15,16.56,70.62,4.71,366.20,4.77,42.50,20.70,72.00,24.50,160.00,900.00,157.10,35.45,1168.00,128.00
Dec-11-2018,7.99,32.75,938.00,51.60,11.82,42.00,130.00,93.70,12.60,18.60,2012.00,856.48,94.40,297.00,50.00,16.92,70.62,4.80,377.00,4.77,42.50,20.95,76.00,24.50,160.20,920.50,155.00,35.50,1140.00,129.00
Dec-12-2018,8.02,32.50,925.00,53.90,11.90,41.80,126.70,94.20,12.78,19.30,1970.00,870.37,95.05,294.00,52.40,16.64,70.97,4.80,382.40,4.77,42.65,20.65,75.00,24.50,162.00,945.00,154.50,35.70,1140.00,128.50
Dec-13-2018,8.37,33.00,930.50,55.00,12.20,42.35,130.50,94.80,12.88,19.90,2030.00,888.43,95.80,294.60,51.95,16.80,71.46,4.80,375.00,4.69,42.70,21.00,76.00,24.20,160.90,955.00,147.00,34.80,1134.00,128.50
Dec-14-2018,9.39,33.10,914.00,56.00,12.24,42.30,129.70,94.95,12.40,19.50,2018.00,881.94,98.00,298.00,53.20,16.78,71.68,4.80,389.80,4.77,42.50,20.95,76.25,24.00,160.20,952.50,142.00,34.60,1140.00,128.50
Dec-17-2018,9.62,33.50,927.00,54.90,12.42,42.50,129.80,93.80,12.00,20.40,2000.00,851.85,99.00,300.00,53.20,16.76,70.62,4.81,386.00,4.70,42.50,20.90,79.50,23.30,160.00,940.00,151.20,34.90,1164.00,128.50
Dec-18-2018,9.60,33.20,918.50,51.65,12.26,42.50,125.50,92.05,12.08,19.94,1970.00,873.15,99.50,301.20,51.00,16.72,70.35,4.80,389.00,4.56,42.45,20.85,79.50,23.40,152.80,920.00,150.10,34.90,1129.00,128.20
Dec-19-2018,9.60,33.80,914.00,54.50,12.28,43.20,130.50,93.00,12.90,20.40,1980.00,894.44,101.30,305.00,54.40,16.78,71.68,4.80,389.40,4.61,42.90,20.80,79.00,23.95,157.50,950.00,148.00,35.90,1153.00,128.50
Dec-20-2018,9.84,34.35,918.00,56.90,12.46,42.05,129.30,93.85,12.90,20.00,1950.00,919.44,102.00,303.00,54.10,16.80,72.57,4.80,390.00,4.60,42.60,21.45,79.50,23.50,157.00,930.00,145.00,35.90,1170.00,128.80
Dec-21-2018,9.78,35.00,914.00,56.00,12.30,41.30,129.00,90.70,12.70,19.54,1900.00,918.06,103.00,302.40,56.10,16.60,71.77,4.80,390.00,4.62,42.20,20.55,80.00,22.50,154.50,910.00,145.00,35.00,1149.00,128.50
Dec-26-2018,9.36,34.90,911.00,55.40,11.74,41.25,127.00,92.50,12.50,19.70,1908.00,884.26,99.00,292.00,55.20,16.80,71.68,4.70,389.60,4.60,43.30,20.30,80.00,23.30,155.10,911.00,145.90,35.50,1150.00,128.00
Dec-27-2018,9.45,35.50,905.00,55.00,11.98,40.60,129.70,93.50,12.50,19.76,1897.00,867.59,98.00,295.00,55.85,16.74,70.80,4.70,394.80,4.68,43.00,20.55,78.80,23.50,155.70,929.00,147.40,35.85,1150.00,128.50
Dec-28-2018,9.41,35.10,900.00,55.00,11.90,40.60,130.80,94.00,12.78,19.98,1900.00,902.78,100.00,291.80,55.70,16.60,71.64,4.75,380.00,4.64,43.00,20.15,80.00,23.05,155.00,917.50,147.00,35.80,1125.00,127.00
Jan-02-2019,9.64,35.00,906.00,53.20,11.90,41.30,127.00,94.00,12.80,19.80,1900.00,916.20,99.50,293.00,55.10,16.58,72.57,4.80,384.60,4.61,43.00,21.10,81.75,23.20,154.60,915.50,147.30,37.00,1130.00,127.50
Jan-03-2019,9.87,35.65,925.00,56.50,11.90,42.45,129.50,95.00,13.00,20.30,1889.00,930.56,100.00,292.00,57.65,16.30,74.87,4.84,390.00,4.75,45.15,21.60,84.80,24.15,160.50,958.00,149.00,38.00,1158.00,128.50
Jan-04-2019,9.70,35.70,960.00,57.00,11.80,43.70,132.80,93.50,12.78,21.35,1872.00,921.30,99.00,309.00,59.40,16.02,74.87,4.83,394.00,4.85,47.20,21.70,88.00,24.70,163.30,946.00,145.30,38.50,1160.00,128.50
Jan-07-2019,10.12,35.60,998.00,57.20,11.80,44.80,129.50,93.00,12.60,20.45,1860.00,912.96,100.00,323.00,60.00,16.04,73.01,4.90,380.80,4.75,49.05,21.20,87.00,24.90,163.40,940.00,146.50,38.95,1148.00,130.50
Jan-08-2019,10.00,35.00,970.00,57.20,11.78,43.90,129.00,91.80,12.50,20.30,1860.00,890.28,98.90,321.00,59.95,15.80,71.46,4.95,382.00,4.63,48.75,21.25,84.80,24.40,163.50,938.00,146.50,38.05,1140.00,130.00
Jan-09-2019,10.04,34.50,1000.00,61.00,12.18,45.00,130.30,93.00,12.66,20.40,1930.00,933.33,104.00,319.00,63.50,15.40,72.08,5.05,390.00,4.74,49.05,21.70,85.50,24.60,171.00,995.00,145.00,38.75,1186.00,131.10
Jan-10-2019,10.12,36.90,1000.00,61.60,12.72,45.00,131.30,94.50,12.82,20.20,2020.00,944.44,104.60,314.00,63.50,15.20,72.48,5.06,393.40,4.92,49.00,22.25,85.00,24.40,178.40,985.00,147.60,39.45,1234.00,133.90
Jan-11-2019,10.68,35.80,972.00,60.00,12.78,44.35,131.30,90.00,12.80,20.50,2016.00,924.54,104.50,316.60,64.50,15.26,68.98,5.00,387.00,4.96,48.50,22.30,87.05,24.30,175.30,985.00,149.50,39.00,1205.00,136.30
Jan-14-2019,10.80,37.00,975.00,64.40,13.06,44.55,131.60,91.90,12.80,20.50,2060.00,929.63,105.00,324.00,66.30,15.42,70.80,5.15,398.00,5.02,48.65,23.20,87.35,24.10,179.00,992.00,149.50,39.60,1199.00,141.40
Jan-15-2019,10.98,37.00,970.50,64.80,13.40,45.00,130.90,93.80,12.60,20.50,2086.00,916.67,102.30,315.00,65.90,15.40,70.80,5.15,396.00,5.08,48.65,22.80,87.00,24.10,179.10,980.00,151.50,39.75,1215.00,142.00
Jan-16-2019,10.80,36.20,919.00,64.80,13.38,43.10,129.50,94.50,12.40,19.98,2038.00,932.41,104.80,307.00,65.00,15.34,71.68,5.13,387.00,5.08,48.30,22.50,87.50,24.15,179.80,960.00,150.00,37.00,1215.00,143.00
Jan-17-2019,10.66,36.05,923.00,66.00,13.96,45.00,131.00,93.00,12.50,19.98,2080.00,942.59,104.00,313.00,65.25,15.20,73.01,5.27,378.00,4.97,45.90,22.90,85.50,24.00,178.50,953.00,151.00,38.30,1237.00,140.00
Jan-18-2019,10.80,37.95,939.00,67.90,14.28,45.00,132.00,93.10,12.12,20.00,2092.00,972.22,108.00,324.80,66.25,15.10,73.01,5.38,369.20,5.01,46.00,23.20,86.00,24.00,179.70,976.00,155.50,39.40,1247.00,142.90
Jan-21-2019,10.20,37.45,925.00,66.60,14.08,45.30,130.00,92.00,12.26,19.90,2080.00,960.19,104.00,325.20,67.10,14.78,72.88,5.36,362.80,4.96,45.75,23.20,82.00,24.20,177.60,970.00,162.80,39.90,1225.00,144.00
Jan-22-2019,10.34,36.80,911.00,66.00,14.06,44.70,131.80,92.80,12.00,19.50,2094.00,967.59,107.40,325.00,66.85,14.62,73.01,5.25,371.40,4.93,45.00,23.05,84.00,24.45,175.00,976.00,170.00,39.45,1240.00,145.00
Jan-23-2019,10.20,37.00,906.00,65.00,14.20,44.10,132.90,90.90,12.18,20.30,2100.00,962.04,107.00,317.00,66.80,15.00,73.14,5.25,375.00,4.86,44.50,23.05,84.00,24.40,175.00,976.00,168.90,39.70,1253.00,144.50
Jan-24-2019,10.40,38.10,912.50,65.00,14.26,44.35,135.00,92.80,12.00,20.50,2116.00,962.96,107.40,315.80,66.00,15.40,74.34,5.27,380.00,4.99,44.90,23.15,85.50,23.10,176.00,990.00,174.00,39.70,1286.00,149.50
Jan-25-2019,10.40,38.00,921.50,62.30,14.38,44.60,136.50,91.15,12.00,20.50,2120.00,944.44,107.50,323.60,64.65,15.66,73.76,5.26,372.00,4.95,44.90,23.00,85.00,23.05,174.20,989.00,168.50,39.90,1328.00,149.30
Jan-28-2019,10.56,38.40,927.00,63.00,14.28,44.20,138.00,92.10,12.24,20.35,2142.00,958.33,108.60,317.00,63.70,15.58,73.81,5.29,375.00,4.90,46.00,23.05,86.50,23.25,175.00,970.00,165.40,39.95,1385.00,148.00
Jan-29-2019,10.52,38.10,923.00,64.00,14.08,43.10,139.40,91.00,12.50,20.40,2150.00,962.96,107.50,322.00,65.00,15.88,74.34,5.29,373.60,4.94,45.75,23.00,87.00,23.50,176.80,971.00,164.00,39.70,1380.00,147.00
Jan-30-2019,10.60,38.20,918.00,64.00,13.62,43.75,136.00,91.00,12.60,20.00,2086.00,953.70,106.30,314.00,64.95,15.26,73.36,5.17,371.00,4.93,45.00,22.60,86.10,23.20,176.00,975.00,163.00,39.10,1305.00,145.80
Jan-31-2019,11.02,38.40,927.00,64.25,13.70,44.40,135.00,91.00,12.58,20.40,2020.00,987.96,108.20,316.00,64.65,15.50,74.34,5.16,365.80,4.86,45.50,22.05,88.00,23.70,179.00,990.00,165.00,38.10,1290.00,148.10
Feb-01-2019,11.10,39.20,940.00,64.00,13.90,44.95,140.00,92.00,12.76,20.65,2070.00,1036.11,108.50,320.00,65.65,15.48,74.47,5.27,370.60,4.86,46.70,22.35,89.70,23.50,179.10,1015.00,166.50,39.20,1313.00,150.00
Feb-04-2019,11.38,37.85,935.50,62.30,13.80,44.85,138.50,91.40,12.58,20.35,2030.00,1037.04,108.60,315.00,66.00,15.48,74.25,5.22,364.00,4.89,46.90,22.50,89.10,23.60,174.80,997.00,166.80,38.50,1300.00,151.00
Feb-06-2019,11.52,37.70,927.00,61.75,13.80,45.00,139.80,93.00,12.70,20.50,2018.00,1045.37,111.00,322.00,63.55,15.40,73.01,5.30,367.20,4.95,48.20,22.70,88.40,24.15,180.50,980.00,165.00,38.50,1290.00,149.10
Feb-07-2019,11.56,37.70,933.00,63.20,13.86,45.25,140.20,93.00,12.60,20.60,2016.00,1018.52,111.10,323.00,65.00,15.36,73.63,5.29,371.00,4.94,48.65,22.40,88.50,23.90,179.80,1000.00,163.10,38.70,1283.00,147.10
Feb-08-2019,12.06,37.75,927.00,62.50,13.78,45.00,139.20,91.70,12.42,20.75,2030.00,1013.89,114.00,316.20,65.40,15.52,73.81,5.29,367.20,4.91,48.25,21.60,87.80,23.70,179.00,1010.00,165.40,38.65,1240.00,146.20
Feb-11-2019,12.00,37.55,929.00,64.00,13.96,44.90,138.00,90.65,12.30,21.20,1980.00,1009.26,114.70,314.80,66.10,15.70,72.83,5.23,360.00,4.93,48.00,23.00,86.00,23.55,180.00,1000.00,166.00,39.30,1216.00,147.00
Feb-12-2019,11.96,37.00,932.00,63.95,14.30,44.80,139.00,89.60,12.12,21.25,1956.00,990.74,116.90,312.00,65.80,15.50,72.88,5.20,360.40,4.88,47.50,22.90,85.50,23.30,176.40,986.00,163.00,38.90,1215.00,141.30
Feb-13-2019,11.70,36.00,930.00,63.00,13.66,44.40,137.50,88.60,12.12,20.80,1920.00,970.37,115.00,316.00,63.25,15.20,71.68,5.06,360.00,4.85,46.70,22.50,85.50,23.70,171.50,983.00,161.90,38.50,1190.00,140.50
Feb-14-2019,12.08,36.00,926.00,62.55,13.86,45.00,140.60,90.10,12.60,21.00,1908.00,944.44,115.90,321.20,62.80,15.10,72.92,5.12,360.20,4.90,47.00,22.50,89.40,23.25,175.10,990.00,163.50,39.40,1170.00,143.80
Feb-15-2019,13.00,34.00,961.00,66.00,13.86,44.50,133.60,89.20,12.50,20.60,1890.00,916.67,115.00,316.60,62.25,15.30,70.80,5.13,355.00,4.79,47.10,21.95,85.00,23.05,172.20,970.00,163.00,39.40,1112.00,146.00
Feb-18-2019,12.92,34.90,945.00,63.55,13.88,44.65,133.50,89.20,12.28,20.30,1880.00,925.93,118.00,312.00,67.10,15.00,71.15,5.12,358.00,4.83,46.70,22.60,87.00,22.60,173.10,970.00,174.50,38.25,1110.00,145.00
Feb-19-2019,12.60,34.95,937.00,62.15,13.82,43.00,129.20,89.55,12.46,20.25,1851.00,925.93,117.80,310.00,65.60,15.18,72.65,5.39,359.00,4.70,47.20,24.15,86.00,22.50,169.80,970.00,174.00,37.65,1101.00,140.50
Feb-20-2019,12.40,35.90,944.00,64.50,14.20,43.90,129.50,89.75,12.68,20.90,1866.00,943.52,119.00,310.40,66.70,15.42,72.48,5.32,372.00,4.76,48.00,23.50,88.00,22.60,173.00,980.00,174.70,38.90,1070.00,146.50
Feb-21-2019,12.60,36.95,950.00,63.00,14.30,44.00,129.00,88.95,12.46,21.30,1890.00,958.33,119.00,307.20,66.50,15.60,73.01,5.31,374.00,4.76,48.70,23.70,87.00,22.75,173.00,972.00,174.50,38.50,1080.00,149.00
Feb-22-2019,12.18,36.90,942.00,64.50,14.00,44.50,129.00,86.05,12.28,20.95,1901.00,927.78,119.40,313.20,68.50,15.60,72.04,5.30,375.00,4.78,48.70,23.90,87.00,22.75,173.00,980.00,179.00,39.10,1113.00,149.00
Feb-26-2019,12.20,36.95,945.00,64.60,14.20,44.95,131.00,84.90,12.32,21.10,1900.00,924.54,119.60,315.00,69.50,15.70,69.91,5.31,375.60,4.89,49.50,23.85,87.75,22.90,171.00,985.00,180.00,39.35,1098.00,149.40
Feb-27-2019,12.34,35.95,941.50,63.00,13.98,44.65,133.50,86.50,12.10,21.25,1896.00,884.26,119.30,308.00,68.00,15.40,68.58,5.15,379.00,4.87,48.05,23.45,86.90,22.85,171.80,966.00,172.00,38.65,1050.00,145.10
Feb-28-2019,11.40,34.85,925.00,61.00,13.70,44.00,127.60,84.00,11.40,21.25,1900.00,884.26,116.00,307.80,66.20,14.80,67.26,5.17,367.60,4.70,47.05,23.40,87.50,22.50,165.80,940.00,170.90,38.35,1030.00,136.10
Mar-01-2019,11.32,35.00,930.00,60.00,13.70,43.20,123.70,84.00,11.18,21.30,1903.00,861.11,113.00,309.00,65.80,15.24,66.55,5.15,367.00,4.57,46.80,22.80,86.50,21.75,162.50,940.00,170.70,37.95,1030.00,137.00
Mar-04-2019,11.14,34.70,937.00,59.80,13.90,42.90,125.60,85.15,11.32,22.00,1870.00,875.00,113.00,309.00,66.20,15.40,67.70,5.29,370.20,4.57,47.30,22.80,85.30,20.35,160.20,940.00,169.50,38.50,1036.00,138.00
Mar-05-2019,11.40,34.25,935.50,58.90,13.94,43.25,127.50,83.90,11.20,21.85,1879.00,868.52,112.80,309.00,66.90,15.50,67.26,5.31,368.20,4.69,48.00,22.90,85.10,19.90,161.90,941.50,169.40,37.35,1075.00,138.00
Mar-06-2019,11.76,34.70,943.50,58.60,14.18,44.25,130.10,86.35,11.32,21.80,1879.00,902.78,116.50,316.00,66.80,15.60,67.79,5.26,377.80,4.96,48.10,23.50,85.65,19.96,163.50,969.00,169.10,38.70,1085.00,142.00
Mar-07-2019,12.12,34.75,948.00,58.65,14.58,43.40,133.50,88.20,11.60,22.50,1912.00,924.07,114.00,320.00,67.80,15.60,70.62,5.41,376.00,4.98,48.50,23.55,87.00,20.00,169.90,969.00,176.80,38.65,1075.00,143.00
Mar-08-2019,12.14,34.00,939.50,58.80,14.62,43.00,133.00,86.30,11.56,22.20,1923.00,919.44,114.00,317.60,67.00,15.80,69.16,5.45,376.00,4.92,48.85,23.50,85.50,20.35,167.80,940.00,174.10,38.10,1075.00,142.30
Mar-11-2019,11.82,33.70,926.00,56.90,14.98,43.15,131.70,84.00,11.16,21.50,1900.00,893.52,114.00,311.00,66.00,16.30,67.79,5.54,370.00,4.85,48.25,23.15,85.50,20.00,167.00,925.00,174.10,38.00,1075.00,140.20
Mar-12-2019,11.80,35.00,925.00,58.00,15.00,42.90,134.00,85.10,11.20,20.70,1878.00,902.31,119.00,317.00,65.00,16.42,67.26,5.49,376.00,4.94,47.70,23.70,86.00,20.10,167.00,946.00,174.00,36.70,1107.00,141.20
Mar-13-2019,11.90,35.45,920.00,58.95,14.98,42.85,132.80,86.65,11.20,21.50,1851.00,919.91,118.30,316.40,63.20,16.52,69.82,5.41,378.20,4.94,48.00,23.70,87.00,19.90,167.00,931.00,172.40,37.65,1119.00,144.80
Mar-14-2019,11.80,35.55,925.50,58.35,15.10,42.80,132.00,87.45,11.90,20.85,1930.00,925.93,118.90,312.00,61.70,16.62,68.76,5.53,380.00,4.90,47.50,23.80,85.00,21.00,170.50,925.00,172.00,37.10,1132.00,145.00
Mar-15-2019,11.70,35.50,920.50,56.95,15.50,43.10,132.00,88.90,12.40,20.50,1916.00,921.30,119.50,316.20,61.05,16.00,70.35,5.62,370.00,4.94,49.00,24.00,84.00,21.60,164.30,934.00,174.20,38.40,1161.00,145.70
Mar-18-2019,11.62,35.00,930.00,58.00,15.58,43.45,132.00,88.10,12.30,21.00,1960.00,921.30,119.00,315.20,63.05,16.28,72.48,5.60,379.60,4.90,48.90,24.00,82.75,22.50,168.50,949.50,174.30,39.15,1150.00,147.00
Mar-19-2019,11.80,34.50,930.00,58.40,15.56,43.25,131.50,87.00,11.90,21.70,1987.00,925.93,120.80,313.60,61.70,16.00,72.57,5.60,375.00,4.92,48.00,23.30,78.90,22.00,165.90,951.50,176.00,39.00,1148.00,146.10
Mar-20-2019,12.06,35.40,927.00,56.20,15.72,43.70,132.00,87.90,12.12,21.65,1937.00,942.59,122.00,313.60,60.60,16.52,70.40,5.57,374.00,4.86,48.50,23.50,78.50,23.20,172.70,950.00,175.00,39.40,1160.00,148.00
Mar-21-2019,12.14,35.50,931.50,58.50,15.78,44.70,133.00,88.10,12.34,21.80,1972.00,950.93,121.40,312.40,64.90,17.30,70.75,5.74,379.40,4.86,48.05,24.45,80.60,22.90,172.90,966.00,175.20,39.30,1180.00,145.00
Mar-22-2019,12.20,35.60,940.00,59.55,16.30,45.00,133.90,88.00,12.40,21.70,1996.00,962.96,124.20,312.40,64.40,17.28,71.68,5.81,387.00,4.92,48.30,24.65,82.00,23.00,171.20,970.50,173.90,39.50,1185.00,149.20
Mar-25-2019,12.16,35.40,922.50,59.15,15.94,43.85,132.40,85.10,12.50,20.90,1999.00,935.19,124.00,316.00,61.65,16.50,70.31,5.65,378.00,4.85,47.85,24.60,81.95,22.55,167.70,934.00,170.00,39.45,1149.00,148.00
Mar-26-2019,11.90,35.30,933.00,58.75,16.06,44.50,132.00,85.05,12.26,21.30,1947.00,918.52,125.50,316.60,62.60,16.52,71.50,5.72,378.00,4.84,47.70,24.50,81.10,22.65,172.00,945.00,175.50,39.50,1164.00,149.00
Mar-27-2019,11.68,34.00,930.00,58.70,15.94,43.55,132.00,83.90,12.02,20.80,1945.00,888.43,127.00,316.00,62.80,16.50,69.91,5.75,376.00,4.72,47.50,24.25,80.00,22.80,171.00,945.00,175.40,39.55,1167.00,149.00
Mar-28-2019,11.68,35.20,932.00,58.00,16.18,44.00,132.60,84.20,11.98,21.10,1950.00,907.41,127.50,316.00,62.20,16.46,70.80,5.70,378.60,4.79,47.50,24.50,78.00,21.95,170.30,945.00,175.00,39.55,1139.00,150.90
Mar-29-2019,12.00,35.40,940.00,58.95,16.16,44.90,133.80,84.20,12.00,21.80,1938.00,862.50,130.70,317.00,63.50,16.10,70.71,5.80,380.00,4.85,48.10,24.50,79.00,21.95,173.00,934.00,174.00,39.90,1150.00,152.00
Apr-01-2019,11.70,35.20,930.00,59.80,15.66,45.00,130.00,83.50,11.88,21.40,1918.00,847.22,128.90,315.00,64.75,15.70,68.41,5.73,385.00,4.71,47.70,24.50,79.00,21.55,172.00,925.00,173.50,39.05,1105.00,152.30
Apr-02-2019,11.66,35.60,930.00,59.25,15.90,44.95,131.50,84.05,11.72,21.70,1922.00,824.07,130.00,317.00,64.50,15.90,69.20,5.70,381.20,4.71,48.00,24.30,80.10,22.00,171.70,941.00,175.00,39.40,1130.00,152.40
Apr-03-2019,12.20,35.10,926.00,60.00,16.16,44.60,131.70,84.00,11.80,21.65,1955.00,833.33,129.40,318.80,64.50,16.00,70.13,5.69,375.20,4.67,48.40,24.75,80.00,22.00,175.00,945.00,173.80,39.35,1131.00,153.00
Apr-04-2019,12.58,35.70,905.50,60.25,16.00,44.50,130.50,81.00,11.90,21.50,1920.00,825.46,123.80,318.80,64.25,16.04,69.91,5.65,376.00,4.55,47.60,24.75,80.35,21.90,177.00,945.00,173.80,39.50,1146.00,153.40
Apr-05-2019,12.84,36.00,922.00,59.95,15.96,45.00,131.30,81.05,11.74,21.45,1908.00,829.63,123.50,320.00,64.65,16.50,70.71,5.68,378.80,4.58,48.20,24.25,80.00,21.85,178.30,944.00,176.00,38.95,1145.00,151.60
Apr-08-2019,12.80,35.50,911.00,60.00,16.40,45.00,130.50,80.80,11.84,22.00,1923.00,823.61,129.60,318.80,65.50,16.80,70.75,5.74,374.00,4.70,49.50,24.15,80.00,22.00,179.70,953.00,175.50,39.30,1150.00,156.00
Apr-10-2019,12.86,36.60,924.00,60.95,16.32,45.35,130.90,82.25,12.10,21.70,1910.00,833.33,133.30,322.00,66.45,16.70,69.47,5.82,385.00,4.70,49.75,24.50,80.00,22.35,180.50,967.00,179.60,39.95,1165.00,159.60
Apr-11-2019,12.84,36.30,912.00,59.20,15.60,46.70,131.60,83.00,12.16,22.00,1894.00,801.85,131.20,317.20,63.60,16.60,69.20,5.80,381.40,4.69,49.00,24.10,80.05,23.30,180.00,958.00,178.90,39.65,1165.00,157.30
Apr-12-2019,12.42,36.30,913.00,59.00,15.40,46.60,132.00,81.50,12.08,21.80,1890.00,805.56,127.30,310.00,62.35,16.30,68.94,5.77,378.40,4.60,47.70,23.70,79.90,23.35,176.00,943.00,181.40,39.00,1179.00,157.00
